tab 	locations																																
age_unit	analysts	citations	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	age_high	age_low																					
	This study		ht	2.6	314.2	15.3	3.7	1	1	0	SS20-2a_LP-DIR-T	hargrave 2016-04-05 19:58:52	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SS20-2	pmagpy-4.2.109: demag_gui	SS20-2a												
	This study		ht	2.6	249	12.5	3.7	1	1	-1	SS20-2a_LP-DIR-T	hargrave 2016-04-05 19:58:52	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR	g	SS20-2	pmagpy-4.2.109: demag_gui	SS20-2a												
	This study		ht	1.9	303.3	25.5	3.7	1	1	100	SS20-3a_LP-DIR-T	hargrave 2016-04-05 20:00:25	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SS20-3	pmagpy-4.2.109: demag_gui	SS20-3a												
	This study		ht	1.9	328.8	34	3.7	1	1	-1	SS20-3a_LP-DIR-T	hargrave 2016-04-05 20:00:25	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR	g	SS20-3	pmagpy-4.2.109: demag_gui	SS20-3a												
	This study		ht	1.9	308.8	15.5	3.7	1	1	0	SS20-3a_LP-DIR-T	hargrave 2016-04-05 20:00:25	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SS20-3	pmagpy-4.2.109: demag_gui	SS20-3a												
	This study																LP-NOMAG		SS20-3		SS20-3a												
	This study																LP-NOMAG		SS20-4		SS20-4a												
	This study		ht	1.1	259	17.4	2.7	1	1	-1	SS20-4a_LP-DIR-T	hargrave 2016-04-05 20:01:59	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR	g	SS20-4	pmagpy-4.2.109: demag_gui	SS20-4a												
	This study		ht	1.1	313.3	19.3	2.7	1	1	0	SS20-4a_LP-DIR-T	hargrave 2016-04-05 20:01:59	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SS20-4	pmagpy-4.2.109: demag_gui	SS20-4a												
	This study		ht	1.1	306.8	30.3	2.7	1	1	100	SS20-4a_LP-DIR-T	hargrave 2016-04-05 20:01:59	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SS20-4	pmagpy-4.2.109: demag_gui	SS20-4a												
	This study		ht	0.3	307.4	19.5	1.7	1	1	0	SS20-5a_LP-DIR-T	hargrave 2016-04-05 20:03:26	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SS20-5	pmagpy-4.2.109: demag_gui	SS20-5a												
	This study																LP-NOMAG		SS20-5		SS20-5a												
	This study		ht	0.3	116	4.3	1.7	1	1	-1	SS20-5a_LP-DIR-T	hargrave 2016-04-05 20:03:26	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR	g	SS20-5	pmagpy-4.2.109: demag_gui	SS20-5a												
	This study		ht	0.3	300.5	29	1.7	1	1	100	SS20-5a_LP-DIR-T	hargrave 2016-04-05 20:03:26	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SS20-5	pmagpy-4.2.109: demag_gui	SS20-5a												
	This study																LP-NOMAG		SS20-6		SS20-6a												
	This study		ht	0.3	112.5	3.4	1.3	1	1	-1	SS20-6a_LP-DIR-T	hargrave 2016-04-05 20:05:42	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR	g	SS20-6	pmagpy-4.2.109: demag_gui	SS20-6a												
	This study		ht	0.3	305.8	18.4	1.3	1	1	0	SS20-6a_LP-DIR-T	hargrave 2016-04-05 20:05:42	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SS20-6	pmagpy-4.2.109: demag_gui	SS20-6a												
	This study		ht	0.3	299.3	27.5	1.3	1	1	100	SS20-6a_LP-DIR-T	hargrave 2016-04-05 20:05:42	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SS20-6	pmagpy-4.2.109: demag_gui	SS20-6a												
	This study		ht	0.3	298.6	25.2	1.4	1	1	100	SS20-7a_LP-DIR-T	hargrave 2016-04-05 20:07:10	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SS20-7	pmagpy-4.2.109: demag_gui	SS20-7a												
	This study		ht	0.3	304.5	16.3	1.4	1	1	0	SS20-7a_LP-DIR-T	hargrave 2016-04-05 20:07:10	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SS20-7	pmagpy-4.2.109: demag_gui	SS20-7a												
	This study																LP-NOMAG		SS20-7		SS20-7a												
	This study		ht	0.3	38.2	29.3	1.4	1	1	-1	SS20-7a_LP-DIR-T	hargrave 2016-04-05 20:07:10	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR	g	SS20-7	pmagpy-4.2.109: demag_gui	SS20-7a												
	This study																LP-NOMAG		SS20-8		SS20-8a												
	This study		ht	0.6	306.2	18.2	0.9	1	1	0	SS20-8a_LP-DIR-T	hargrave 2016-04-05 20:08:43	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SS20-8	pmagpy-4.2.109: demag_gui	SS20-8a												
	This study		ht	0.6	25	32.9	0.9	1	1	-1	SS20-8a_LP-DIR-T	hargrave 2016-04-05 20:08:43	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR	g	SS20-8	pmagpy-4.2.109: demag_gui	SS20-8a												
	This study		ht	0.6	299.8	27.4	0.9	1	1	100	SS20-8a_LP-DIR-T	hargrave 2016-04-05 20:08:43	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SS20-8	pmagpy-4.2.109: demag_gui	SS20-8a												
>>>>>>>>>>																																	
tab 	sites																																
age	age_high	age_low	age_unit	analysts	citations	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	location	lon	method_codes	result_quality	samples	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon	geologic_classes	geologic_types	lithologies
1084	1085	1083	Years BP		This study	2.6	ht	308.5	17.6	473	8	8	8		t	7.9852	0	47.7	Michipicoten Island	274.2	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	SS20-1:SS20-2:SS20-3:SS20-4:SS20-5:SS20-6:SS20-7:SS20-8	SS20	pmagpy-4.2.109: demag_gui.v.3.0	SS20-1a:SS20-2a:SS20-3a:SS20-4a:SS20-5a:SS20-6a:SS20-7a:SS20-8a	2.7	1.4	32	159.9			
1084	1085	1083	Years BP		This study	2.5	ht	302.3	27.4	474	8	8	8		t	7.9852	100	47.7	Michipicoten Island	274.2	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	SS20-1:SS20-2:SS20-3:SS20-4:SS20-5:SS20-6:SS20-7:SS20-8	SS20	pmagpy-4.2.109: demag_gui.v.3.0	SS20-1a:SS20-2a:SS20-3a:SS20-4a:SS20-5a:SS20-6a:SS20-7a:SS20-8a	2.7	1.5	32.3	169.6			
>>>>>>>>>>																																	
tab 	measurements																																
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp							
	This study		3.5	189.4	35.5	SS20-1a_LP-DIR-T	hargrave 2016-02-18 11:26:10	2.27E-07	5.16E-08	1.98E-07	4.05E-08	8	273	SS20-1a_LP-DIR-T-1	LT-NO:LP-DIR-T	g	1	pmagpy-4.2.109	SS20-1a	u	0	0	0	0		273							
	This study		1.3	192.7	29.9	SS20-1a_LP-DIR-T	hargrave 2016-02-21 12:28:26	1.93E-07	3.45E-08	3.66E-08	4.64E-08	8	273	SS20-1a_LP-DIR-T-2	LT-LT-Z:LP-DIR-T	g	2	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	1	77							
	This study		1.3	191.4	25.1	SS20-1a_LP-DIR-T	hargrave 2016-02-22 19:45:22	1.73E-07	2.78E-08	3.31E-08	5.16E-08	8	273	SS20-1a_LP-DIR-T-3	LT-T-Z:LP-DIR-T	g	3	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	2	373							
	This study		3	186	15.3	SS20-1a_LP-DIR-T	hargrave 2016-02-23 19:32:35	1.45E-07	1.61E-08	8.79E-08	6.90E-08	8	273	SS20-1a_LP-DIR-T-4	LT-T-Z:LP-DIR-T	g	4	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	3	473							
	This study		3.9	185	11	SS20-1a_LP-DIR-T	hargrave 2016-02-27 17:41:35	1.42E-07	2.09E-08	1.24E-07	7.08E-08	8	273	SS20-1a_LP-DIR-T-5	LT-T-Z:LP-DIR-T	g	5	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	4	573							
	This study		2.1	188.4	10.9	SS20-1a_LP-DIR-T	hargrave 2016-02-29 19:11:05	1.31E-07	2.67E-08	6.32E-08	3.16E-08	8	273	SS20-1a_LP-DIR-T-6	LT-T-Z:LP-DIR-T	g	6	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	5	598							
	This study		3.2	185.2	10.1	SS20-1a_LP-DIR-T	hargrave 2016-03-01 17:39:28	1.28E-07	1.60E-08	8.66E-08	6.03E-08	8	273	SS20-1a_LP-DIR-T-7	LT-T-Z:LP-DIR-T	g	7	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	6	623							
	This study		3.3	191.2	9.9	SS20-1a_LP-DIR-T	hargrave 2016-03-07 17:34:41	1.25E-07	2.39E-08	1.01E-07	2.84E-08	8	273	SS20-1a_LP-DIR-T-8	LT-T-Z:LP-DIR-T	g	8	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	7	648							
	This study		2.9	186.7	9	SS20-1a_LP-DIR-T	hargrave 2016-03-08 13:35:59	1.20E-07	1.39E-08	7.18E-08	5.35E-08	8	273	SS20-1a_LP-DIR-T-9	LT-T-Z:LP-DIR-T	g	9	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	8	673							
	This study		3	188.2	8.1	SS20-1a_LP-DIR-T	hargrave 2016-03-14 10:52:29	1.12E-07	2.79E-08	7.86E-08	3.97E-08	8	273	SS20-1a_LP-DIR-T-10	LT-T-Z:LP-DIR-T	g	1	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	9	698							
	This study		2.2	187.9	9	SS20-1a_LP-DIR-T	hargrave 2016-03-14 18:53:53	9.43E-08	1.50E-08	3.68E-08	3.86E-08	8	273	SS20-1a_LP-DIR-T-11	LT-T-Z:LP-DIR-T	g	11	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	1	723							
	This study		2.1	187.4	7.7	SS20-1a_LP-DIR-T	hargrave 2016-03-15 14:34:48	7.95E-08	1.18E-08	2.82E-08	3.18E-08	8	273	SS20-1a_LP-DIR-T-12	LT-T-Z:LP-DIR-T	g	12	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	11	748							
	This study		1.6	185.4	10.4	SS20-1a_LP-DIR-T	hargrave 2016-03-25 13:21:18	5.82E-08	8.22E-09	9.76E-09	2.19E-08	8	273	SS20-1a_LP-DIR-T-13	LT-T-Z:LP-DIR-T	g	13	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	12	773							
	This study		1.7	186.2	9.5	SS20-1a_LP-DIR-T	hargrave 2016-03-27 12:42:13	5.57E-08	1.08E-08	1.33E-08	2.04E-08	8	273	SS20-1a_LP-DIR-T-14	LT-T-Z:LP-DIR-T	g	14	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	13	788							
	This study		1.8	189.3	9.7	SS20-1a_LP-DIR-T	hargrave 2016-03-28 09:37:01	3.67E-08	1.43E-08	6.31E-09	1.43E-08	8	273	SS20-1a_LP-DIR-T-15	LT-T-Z:LP-DIR-T	g	15	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	14	803							
	This study		2.2	172.5	12.8	SS20-1a_LP-DIR-T	hargrave 2016-03-28 18:59:12	2.21E-08	5.86E-09	5.38E-09	1.01E-08	8	273	SS20-1a_LP-DIR-T-16	LT-T-Z:LP-DIR-T	g	16	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	15	813							
	This study		1.3	175.4	10.7	SS20-1a_LP-DIR-T	hargrave 2016-03-29 16:02:04	1.93E-08	7.59E-09	1.54E-09	5.42E-09	8	273	SS20-1a_LP-DIR-T-17	LT-T-Z:LP-DIR-T	g	17	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	16	823							
	This study		2.2	209.3	19.6	SS20-1a_LP-DIR-T	hargrave 2016-03-30 13:18:42	8.53E-09	7.07E-09	1.54E-09	2.30E-09	8	273	SS20-1a_LP-DIR-T-18	LT-T-Z:LP-DIR-T	g	18	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	17	833							
	This study		4.3	117.4	15.3	SS20-1a_LP-DIR-T	hargrave 2016-04-04 14:55:45	2.85E-09	5.68E-09	8.18E-09	4.44E-09	8	273	SS20-1a_LP-DIR-T-19	LT-T-Z:LP-DIR-T	g	19	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	18	843							
	This study		3.7	128.7	-13.3	SS20-1a_LP-DIR-T	hargrave 2016-04-05 12:19:16	4.12E-09	4.83E-09	1.00E-08	1.48E-09	8	273	SS20-1a_LP-DIR-T-20	LT-T-Z:LP-DIR-T	g	2	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	19	848							
	This study		14.3	194.9	67.9	SS20-1a_LP-DIR-T	hargrave 2016-04-05 19:57:15	1.96E-09	3.48E-09	6.55E-09	4.45E-09	8	273	SS20-1a_LP-DIR-T-21	LT-T-Z:LP-DIR-T	g	21	pmagpy-4.2.109	SS20-1a	u	0	0	0	0	2	853							
	This study		4.1	233.4	39.6	SS20-2a_LP-DIR-T	hargrave 2016-02-18 11:27:41	3.07E-07	2.37E-07	1.39E-07	4.31E-08	8	273	SS20-2a_LP-DIR-T-22	LT-NO:LP-DIR-T	g	22	pmagpy-4.2.109	SS20-2a	u	0	0	0	0		273							
	This study		2.7	249.4	32.4	SS20-2a_LP-DIR-T	hargrave 2016-02-21 12:29:58	2.22E-07	1.21E-07	4.30E-08	3.79E-08	8	273	SS20-2a_LP-DIR-T-23	LT-LT-Z:LP-DIR-T	g	23	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	1	77							
	This study		2.8	249.9	29	SS20-2a_LP-DIR-T	hargrave 2016-02-22 19:46:53	2.00E-07	1.19E-07	2.90E-08	2.18E-08	8	273	SS20-2a_LP-DIR-T-24	LT-T-Z:LP-DIR-T	g	24	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	2	373							
	This study		2.1	252	21.7	SS20-2a_LP-DIR-T	hargrave 2016-02-23 19:34:11	1.69E-07	7.42E-08	2.17E-08	2.04E-08	8	273	SS20-2a_LP-DIR-T-25	LT-T-Z:LP-DIR-T	g	25	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	3	473							
	This study		2.9	248.6	17.5	SS20-2a_LP-DIR-T	hargrave 2016-02-27 17:43:12	1.55E-07	9.09E-08	3.31E-08	1.73E-08	8	273	SS20-2a_LP-DIR-T-26	LT-T-Z:LP-DIR-T	g	26	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	4	573							
	This study		0.9	251.6	15.8	SS20-2a_LP-DIR-T	hargrave 2016-02-29 19:12:35	1.48E-07	1.75E-08	1.42E-08	2.41E-08	8	273	SS20-2a_LP-DIR-T-27	LT-T-Z:LP-DIR-T	g	27	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	5	598							
	This study		1.5	251.5	14.7	SS20-2a_LP-DIR-T	hargrave 2016-03-01 17:41:05	1.42E-07	4.11E-08	1.35E-08	1.69E-08	8	273	SS20-2a_LP-DIR-T-28	LT-T-Z:LP-DIR-T	g	28	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	6	623							
	This study		3.2	252.3	14.6	SS20-2a_LP-DIR-T	hargrave 2016-03-07 17:37:12	1.38E-07	9.28E-08	2.26E-08	2.24E-08	8	273	SS20-2a_LP-DIR-T-29	LT-T-Z:LP-DIR-T	g	29	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	7	648							
	This study		2.1	252.1	14	SS20-2a_LP-DIR-T	hargrave 2016-03-08 13:37:36	1.27E-07	5.52E-08	1.18E-08	1.76E-08	8	273	SS20-2a_LP-DIR-T-30	LT-T-Z:LP-DIR-T	g	3	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	8	673							
	This study		2.7	249.5	13.3	SS20-2a_LP-DIR-T	hargrave 2016-03-14 10:54:06	1.15E-07	5.57E-08	4.09E-08	1.90E-08	8	273	SS20-2a_LP-DIR-T-31	LT-T-Z:LP-DIR-T	g	31	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	9	698							
	This study		4	246	13.8	SS20-2a_LP-DIR-T	hargrave 2016-03-14 18:55:30	1.02E-07	8.05E-08	3.09E-08	2.54E-08	8	273	SS20-2a_LP-DIR-T-32	LT-T-Z:LP-DIR-T	g	32	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	1	723							
	This study		2.6	248.2	12.8	SS20-2a_LP-DIR-T	hargrave 2016-03-15 14:36:26	8.55E-08	4.36E-08	1.38E-08	1.74E-08	8	273	SS20-2a_LP-DIR-T-33	LT-T-Z:LP-DIR-T	g	33	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	11	748							
	This study		1.5	251.5	14.9	SS20-2a_LP-DIR-T	hargrave 2016-03-25 13:22:59	6.24E-08	1.38E-08	9.20E-09	1.51E-08	8	273	SS20-2a_LP-DIR-T-34	LT-T-Z:LP-DIR-T	g	34	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	12	773							
	This study		1.5	248.8	13.6	SS20-2a_LP-DIR-T	hargrave 2016-03-27 12:43:50	5.65E-08	1.36E-08	5.06E-09	1.37E-08	8	273	SS20-2a_LP-DIR-T-35	LT-T-Z:LP-DIR-T	g	35	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	13	788							
	This study		1.4	251.7	13.9	SS20-2a_LP-DIR-T	hargrave 2016-03-28 09:38:39	3.92E-08	8.05E-09	1.05E-08	7.62E-09	8	273	SS20-2a_LP-DIR-T-36	LT-T-Z:LP-DIR-T	g	36	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	14	803							
	This study		1.6	249.3	19.7	SS20-2a_LP-DIR-T	hargrave 2016-03-28 19:00:49	2.06E-08	7.28E-09	4.45E-09	2.81E-09	8	273	SS20-2a_LP-DIR-T-37	LT-T-Z:LP-DIR-T	g	37	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	15	813							
	This study		1.5	243.6	16.3	SS20-2a_LP-DIR-T	hargrave 2016-03-29 16:03:41	1.53E-08	2.64E-09	3.47E-09	3.96E-09	8	273	SS20-2a_LP-DIR-T-38	LT-T-Z:LP-DIR-T	g	38	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	16	823							
	This study		2.7	254.3	19.7	SS20-2a_LP-DIR-T	hargrave 2016-03-30 13:20:19	1.05E-08	3.72E-09	1.59E-09	5.56E-09	8	273	SS20-2a_LP-DIR-T-39	LT-T-Z:LP-DIR-T	g	39	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	17	833							
	This study		9.8	215.5	43.8	SS20-2a_LP-DIR-T	hargrave 2016-04-04 14:57:23	3.20E-09	1.91E-09	5.81E-09	3.53E-09	8	273	SS20-2a_LP-DIR-T-40	LT-T-Z:LP-DIR-T	g	4	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	18	843							
	This study		2.5	225.8	34.9	SS20-2a_LP-DIR-T	hargrave 2016-04-04 16:17:25	3.00E-09	1.40E-09	7.48E-10	1.17E-09	8	273	SS20-2a_LP-DIR-T-41	LT-T-Z:LP-DIR-T	g	41	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	19	843							
	This study		19.8	14.3	-16	SS20-2a_LP-DIR-T	hargrave 2016-04-05 12:20:54	1.87E-09	1.88E-09	8.30E-09	1.68E-09	8	273	SS20-2a_LP-DIR-T-42	LT-T-Z:LP-DIR-T	b	42	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	2	848							
	This study		8.1	304.4	8.1	SS20-2a_LP-DIR-T	hargrave 2016-04-05 19:58:52	4.27E-09	1.61E-09	6.28E-09	5.85E-09	8	273	SS20-2a_LP-DIR-T-43	LT-T-Z:LP-DIR-T	g	43	pmagpy-4.2.109	SS20-2a	u	0	0	0	0	21	853							
	This study		2	296.9	76	SS20-3a_LP-DIR-T	hargrave 2016-02-18 11:30:02	3.89E-07	1.70E-07	9.09E-08	4.92E-08	8	273	SS20-3a_LP-DIR-T-44	LT-NO:LP-DIR-T	g	44	pmagpy-4.2.109	SS20-3a	u	0	0	0	0		273							
	This study		1.6	328.7	61.8	SS20-3a_LP-DIR-T	hargrave 2016-02-21 12:31:29	3.17E-07	1.01E-07	6.87E-08	5.23E-08	8	273	SS20-3a_LP-DIR-T-45	LT-LT-Z:LP-DIR-T	g	45	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	1	77							
	This study		2.4	328.6	57.7	SS20-3a_LP-DIR-T	hargrave 2016-02-22 19:48:24	2.87E-07	1.13E-07	1.27E-07	4.40E-08	8	273	SS20-3a_LP-DIR-T-46	LT-T-Z:LP-DIR-T	g	46	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	2	373							
	This study		2	330.2	44.5	SS20-3a_LP-DIR-T	hargrave 2016-02-23 19:35:44	2.28E-07	5.47E-08	1.00E-07	2.28E-08	8	273	SS20-3a_LP-DIR-T-47	LT-T-Z:LP-DIR-T	g	47	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	3	473							
	This study		1.4	327.8	41.6	SS20-3a_LP-DIR-T	hargrave 2016-02-27 17:44:46	2.08E-07	3.05E-08	6.74E-08	1.97E-08	8	273	SS20-3a_LP-DIR-T-48	LT-T-Z:LP-DIR-T	g	48	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	4	573							
	This study		1.7	326.1	39	SS20-3a_LP-DIR-T	hargrave 2016-02-29 19:14:06	2.03E-07	5.69E-08	5.91E-08	2.58E-08	8	273	SS20-3a_LP-DIR-T-49	LT-T-Z:LP-DIR-T	g	49	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	5	598							
	This study		1.5	327	38.6	SS20-3a_LP-DIR-T	hargrave 2016-03-01 17:43:28	1.93E-07	3.13E-08	6.72E-08	1.95E-08	8	273	SS20-3a_LP-DIR-T-50	LT-T-Z:LP-DIR-T	g	5	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	6	623							
	This study		1.9	326.7	37.2	SS20-3a_LP-DIR-T	hargrave 2016-03-07 17:38:43	1.92E-07	5.76E-08	7.10E-08	2.41E-08	8	273	SS20-3a_LP-DIR-T-51	LT-T-Z:LP-DIR-T	g	51	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	7	648							
	This study		1.1	329.1	37	SS20-3a_LP-DIR-T	hargrave 2016-03-08 13:39:10	1.79E-07	1.86E-08	4.58E-08	2.03E-08	8	273	SS20-3a_LP-DIR-T-52	LT-T-Z:LP-DIR-T	g	52	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	8	673							
	This study		2.1	327.7	36.4	SS20-3a_LP-DIR-T	hargrave 2016-03-14 10:55:40	1.69E-07	3.73E-08	8.07E-08	1.80E-08	8	273	SS20-3a_LP-DIR-T-53	LT-T-Z:LP-DIR-T	g	53	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	9	698							
	This study		1.1	327.7	35.1	SS20-3a_LP-DIR-T	hargrave 2016-03-14 18:57:03	1.55E-07	1.53E-08	3.70E-08	1.74E-08	8	273	SS20-3a_LP-DIR-T-54	LT-T-Z:LP-DIR-T	g	54	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	1	723							
	This study		2.7	330.1	34	SS20-3a_LP-DIR-T	hargrave 2016-03-15 14:38:00	1.38E-07	3.97E-08	8.25E-08	1.59E-08	8	273	SS20-3a_LP-DIR-T-55	LT-T-Z:LP-DIR-T	g	55	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	11	748							
	This study		0.9	329.2	33.9	SS20-3a_LP-DIR-T	hargrave 2016-03-25 13:24:36	1.22E-07	1.25E-08	2.37E-08	1.29E-08	8	273	SS20-3a_LP-DIR-T-56	LT-T-Z:LP-DIR-T	g	56	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	12	773							
	This study		1.3	331.7	35.3	SS20-3a_LP-DIR-T	hargrave 2016-03-27 12:45:23	1.06E-07	1.22E-08	3.00E-08	1.30E-08	8	273	SS20-3a_LP-DIR-T-57	LT-T-Z:LP-DIR-T	g	57	pmagpy-4.2.109	SS20-3a	u	0	0	0	0	13	788							
